id,latitude,longitude,elevation,name,category,ridge_id
peak-00151,43.241732679644855,42.727686166763306,4028,Курмычи,regular,axis_adylsu
peak-00147,43.32694156641358,42.60077476501465,4007,Црик,regular,axis_adylsu
rock-00889,43.23995068917739,42.73055076599121,3988,Курмычи Восточная,regular,axis_adylsu
rock-00840,43.321306316080864,42.62052655220032,3984,Советский Воин,regular,axis_adylsu
rock-00890,43.244366491156256,42.729703187942505,3967,1 Мая,regular,axis_adylsu
rock-00896,43.24521835240799,42.73154854774475,3937,Авиации,regular,axis_adylsu
rock-00837,43.336376708397836,42.58751392364502,3936,Субаши,regular,axis_adylsu
rock-00895,43.24667195969755,42.712504863739014,3910,Андыртау,regular,axis_adylsu
rock-00774,43.34598203426614,42.554404735565186,3901,Чаткара,regular,axis_adylsu
rock-00891,43.23608171467407,42.73807168006897,3898,Адылсу узловая,regular,axis_adylsu
rock-00097,43.33599433660214,42.53426671028137,3897,Аскерколбаши-Терсак,regular,axis_adylsu
rock-00844,43.32293762651403,42.64840006828308,3865,Мукал,regular,axis_adylsu
rock-00888,43.24129500260426,42.71209716796875,3850,Узловая Андыртау,regular,axis_adylsu
rock-00886,43.225771066001016,42.75433659553528,3816,Локомотив,regular,axis_adylsu
rock-00393,43.326574744694796,42.54582166671753,3810,,regular,axis_adylsu
rock-00892,43.24953218243763,42.71650671958923,3808,МНР,regular,axis_adylsu
rock-00887,43.25312680742326,42.72124886512756,3807,МНР,regular,axis_adylsu
rock-00848,43.3175439881835,42.65999794006348,3787,Сылтранкель-Баши,regular,axis_adylsu
rock-00843,43.32074432339516,42.64336824417114,3781,,regular,axis_adylsu
rock-00893,43.25092317118313,42.71967172622681,3778,МНР,regular,axis_adylsu
rock-00424,43.32754252486765,42.623058557510376,3776,,regular,axis_adylsu
rock-00894,43.22963287791913,42.744433879852295,3776,Дружба,regular,axis_adylsu
rock-00130,43.365273924511314,42.571399211883545,3775,Академика Фортова,regular,axis_adylsu
rock-00714,43.337281905501015,42.57606625556946,3771,,regular,axis_adylsu
rock-00712,43.3402471118508,42.56205439567566,3759,,regular,axis_adylsu
rock-00394,43.33283382446453,42.53977060317993,3747,,regular,axis_adylsu
rock-00302,43.2403336652099,42.74508833885193,3740,День Физкультурника,regular,axis_adylsu
rock-00422,43.329431212730725,42.627049684524536,3726,,regular,axis_adylsu
rock-00880,43.195008552270735,42.70885705947876,3715,Чегет-Карабаши,regular,axis_adylsu
rock-00099,43.34968798845486,42.56003737449646,3704,,regular,axis_adylsu
rock-00839,43.34633313436541,42.60319948196411,3696,,regular,axis_adylsu
rock-00071,43.32180586077072,42.54411578178406,3674,,regular,axis_adylsu
rock-00392,43.35604609847303,42.561904191970825,3653,,regular,axis_adylsu
rock-00418,43.334066833952676,42.60669708251953,3653,,regular,axis_adylsu
rock-00416,43.31860558147406,42.54759192466736,3638,,regular,axis_adylsu
rock-00897,43.24471036318704,42.75437951087952,3637,ВМФ,regular,axis_adylsu
rock-00412,43.341784280253165,42.60544180870056,3546,,regular,axis_adylsu
rock-00389,43.316396509871595,42.51976132392883,3527,,regular,axis_adylsu
rock-00847,43.3185275237756,42.67686367034912,3525,,regular,axis_adylsu
rock-00410,43.31352381608173,42.5584602355957,3518,,regular,axis_adylsu
rock-00072,43.32362448096046,42.56049871444702,3455,,regular,axis_adylsu
rock-00403,43.28819452104702,42.63619065284729,3438,,regular,axis_adylsu
rock-00473,43.24093547982588,42.6848030090332,3364,Поворотный,regular,axis_adylsu
rock-00474,43.259830997546146,42.72384524345398,3237,,regular,axis_adylsu
mount-01135,43.24551532875961,42.68504977226257,3194,Джапыртала,regular,axis_adylsu
